form,meaning,type,etymology
撵,"to drive away, to expel, to oust",pictophonetic,hand
攉,"to urge, to beckon",ideographic,To motion 霍 with the hand 扌; 霍 also provides the pronunciation
拢,"to collect, to bring together",pictophonetic,hand
拦,"to block, to hinder, to obstruct",pictophonetic,hand
撄,"to offend, to oppose, to run counter to",pictophonetic,hand
攘,"to usurp, to seize; to repel",pictophonetic,hand
搀,"to mix; to support, to sustain, to lend a hand",pictophonetic,hand
撺,"rush, hurry; to stir up, to urge; to fling, to throw",pictophonetic,hand
摄,"to absorb, to take in; to photograph; to act on behalf of",pictophonetic,hand
攒,"to save, to hoard",pictophonetic,hand
挛,"tangled, entwined; crooked",pictophonetic,hand
摊,"to spread out, to open, to allot; a merchant's stand",pictophonetic,hand
攥,"to hold, to grip, to grasp",pictophonetic,hand
搅,"to annoy, to disturb, to stir up",pictophonetic,hand
攫,"to snatch, to sieze, to rob",pictophonetic,hand
揽,to grasp; to monopolize; to seize,pictophonetic,hand
攮,to fend off; to stab,pictophonetic,hand
支,"to support, to sustain; to withdraw, to pay; a branch (of a bank)",ideographic,A hand 又 holding a branch 十 for support
攴,"to rap, to tap",pictographic,A hand 又 wielding a stick ⺊
攵,"to rap, to tap; script; to let go",pictographic,A fist made with one's right hand
收,"to collect, to gather, to harvest",pictophonetic,hand
考,"to test, to investigate, to examine",pictophonetic,old
攸,"distant, far; adverbial prefix",,
改,"to alter, to change, to improve, to remodel",ideographic,A hand with a stick 攵 disciplining a kneeling child 己
攻,to accuse; to assault; to criticize,pictophonetic,rap
放,"to release, to liberate, to free",pictophonetic,let go
政,"government, politics",pictophonetic,script
敃,"robust, strong, vigorous",pictophonetic,rap
故,"reason, cause; happening, instance",pictophonetic,tap
敉,"to pacify, to soothe; to stabilize",pictophonetic,script
叙,"to express, to state; to relate, to narrate",pictophonetic,again
敏,"fast, quick; clever, smart",pictophonetic,strike
敖,"to ramble, to play about; leisurely; surname",,
败,"failure; to decline, to fail, to suffer defeat",pictophonetic,rap
教,"school, education",pictophonetic,script
敝,"to break, to destroy; ruined, tattered",pictophonetic,strike
敞,"wide, open, spacious",pictophonetic,let go
敢,"bold, brave; to dare, to venture",ideographic,A hand with a stick 攵 striking a beast 耳
敪,to weigh; to cut; to enter without being invited,pictophonetic,rap
敫,ancient musical instrument,,
敬,"to respect, to honor; respectfully",,
敲,"to hammer, to pound, to strike",pictophonetic,strike
整,"neat, orderly, whole; to repair, to mend",pictophonetic,order
敌,"enemy, foe, rival; to match; to resist",pictophonetic,strike
敷,"to apply, to paint, to spread",pictophonetic,tap
数,"count, number, several",pictophonetic,script
驱,"to spur a horse on; to expel, to drive away",pictophonetic,horse
敻,"remote, far away; preeminent",pictophonetic,go
敛,"to collect, to extort",pictophonetic,strike
毙,to kill; to die a violent death,pictophonetic,death
文,"culture, literature, writing",pictographic,"A tattooed chest, representing writing"
斌,"ornamental, refined",pictophonetic,culture
斐,"graceful, elegant, beautiful",pictophonetic,culture
斑,"freckled, mottled, spotted, striped",ideographic,Markings 文 in jade 王
斓,multicolored,pictophonetic,script
斗,"to struggle, to fight, to contend; measuring cup",ideographic,A hand holding a measuring dipper
料,"ingredients, materials; to conjecture, to guess",ideographic,A hand measuring 斗 a cup of rice 米
斛,"ancient measuring vessel; unit of volume, about 50 liters",pictophonetic,measuring cup
斜,"slanting, sloping, inclined",pictophonetic,measuring cup
斟,"to deliberate, to gauge; to pour wine or tea",pictophonetic,measuring cup
斡,"to turn, to rotate, to revolve",,
斤,"a catty (about 500 grams); an axe; keen, shrewd",,
斥,"to scold, to upbraid; to accuse, to blame; to reproach",ideographic,Someone scolded for cutting themselves 丶 with an axe 斤
斧,"axe, hatchet; to chop, to hew",pictophonetic,axe
斫,"to chop, to cut, to lop off",pictophonetic,axe
斩,"to chop, to cut, to sever; to behead",pictophonetic,axe
斯,"this, thus, such; emphatic particle; used in transliterations",,
新,"new, recent, fresh, modern",ideographic,A freshly chopped 斤 tree 亲
断,"to sever, to cut off, to interrupt",ideographic,Using an axe 斤 to harvest grain 米
方,"square, rectangle; side; region; flag",,
於,"at, in, on; to, from; alas!",,
施,"to grant, to bestow; to act; surname",,
斿,to swim; to move freely,,
旁,"side; beside, close, nearby",pictophonetic,stand
旗,"banner, flag, streamer",pictophonetic,square
旃,felt; a silk banner on a bent pole,pictophonetic,flag
旄,old; an ancient pelt flag,ideographic,A flag 方 made of fur 毛; 毛 also provides the pronunciation
旅,"journey, trip; to travel",ideographic,A man 方 traveling with a pack 氏 on his back
旆,"banner, flag; ornament",pictophonetic,flag
旋,"to revolve, to orbit, to return",ideographic,An army 方 marching under a flag 疋
旌,to signal; a flag adorned with feathers,pictophonetic,flag
旎,romantic; the fluttering of a flag,pictophonetic,flag
族,"race, nationality, ethnicity; tribe, clan",ideographic,A group of people that swear by 矢 a single flag 方
旒,"tassels, fringes; pearls studding a crown",pictophonetic,flag
旖,"romantic; tender, charming",pictophonetic,flag
旡,to choke on something,,
既,"already, since, then; both; de facto",ideographic,A person 旡 turning away from food 皀; compare 即
祸,"misfortune, disaster, calamity",pictophonetic,spirit
日,sun; day; daytime,pictographic,The sun
旦,dawn; morning; day,ideographic,The sun 日 rising over the horizon 一
旨,"aim, intention, purpose, will",ideographic,A spoon 匕 aimed for the mouth 日
早,early; soon; morning,ideographic,The first rays 十 of the sun 日
旬,ten-day period; period of time,ideographic,A cycle 勹 of ten days 日; a traditional week
旭,"the rising sun; brilliant, radiant",pictophonetic,sun
旮,"corner, nook, recess",,
旯,"corner, nook, recess",,
旰,"sunset, dusk; evening",pictophonetic,sun
旱,dry; drought; desert,ideographic,The sun 日 baking a desert 干; 干 also provides the pronunciation
时,"time, season; period, era, age",pictophonetic,day
旺,"to flourish, to prosper; prosperous",pictophonetic,sun
春,"springtime; joyful, lustful, wanton",pictophonetic,sun
昀,sunlight; surname,pictophonetic,sun
昂,"to rise; proud, bold, upright",pictophonetic,sun
昃,afternoon; in decline,ideographic,The sun 日 at a slant 仄; 仄 also provides the pronunciation
昇,"rise, ascent; to raise, to exalt",ideographic,The rising 升 sun 日; 升 also provides the pronunciation
昉,"dawn, daybreak; to appear",pictophonetic,sun
昊,"summertime; sky, heaven",ideographic,The sun 日 high in the sky 天
昌,"sunlight; good, proper; prosperous",ideographic,Speaking 曰 in the daytime 日
明,"bright, clear; to explain, to understand, to shed light",ideographic,The light of the sun 日 and moon 月
昏,"dusk, nightfall, twilight, dark; to faint, to lose consciousness",ideographic,Th sun 日 setting behind a village 氏
易,"to change; to exchange, to trade; simple, easy",,
昔,"past, former; ancient",ideographic,Twenty 廿 days ago 日
昕,"day, dawn, early morning",pictophonetic,sun
昜,"bright, glorious; to expand, to open up",ideographic,"Bright and open, like the dawn 旦"
昝,"dual pronoun: ""you and I"", ""we two""; surname",,
星,"star, planet; a point of light",pictophonetic,sun
映,to project; to reflect; to shine,pictophonetic,sun
昧,"dark, hidden, obscure",pictophonetic,sun
昨,"yesterday; formerly, in the past",pictophonetic,day
昫,warm,pictophonetic,sun
昭,"bright, luminous; clear, manifest",pictophonetic,sun
是,"to be; indeed, right, yes; okay",ideographic,To speak 日 directly 疋
昱,"bright, dazzling; sunlight",pictophonetic,sun
昴,one of the 28 constellations,pictophonetic,sun
昵,"close, intimate; to approach",pictophonetic,sun
昶,"bright, clear; extended",ideographic,A long 永 day 日; 永 also provides the pronunciation
晁,"morning, dawn; surname",pictophonetic,sun
晋,to advance; to increase; to promote,ideographic,An advance to the second 亚 day 日
晌,"noon, midday; moment",pictophonetic,sun
晏,"peaceful, tranquil, quiet; clear; late in the day",ideographic,A woman safe in a house 安 at sunset 日
晒,to dry in the sun; to expose to the sun,pictophonetic,sun
晗,twilight before dawn,pictophonetic,sun
晚,"night, evening; late",ideographic,Avoiding 免 the sun 日; 免 also provides the pronunciation
昼,"daytime, daylight",ideographic,When the sun is a foot 尺 above the horizon 旦
晟,"bright, clear, splendid",pictophonetic,sun
晡,late afternoon,pictophonetic,sun
晤,to meet; to interview with,pictophonetic,sun
晦,"dark, obscure, unclear; night",pictophonetic,sun
晨,"dawn, early morning",pictophonetic,sun
晬,a child's first birthday,pictophonetic,sun
普,"widespread, universal, general",ideographic,Everyone 並 under the sun 日
景,"scenery, view; conditions, circumstances",ideographic,The sun 日 rising over a city 京; 京 also provides the pronunciation
晰,"clear, evident",pictophonetic,sun
晴,"clear weather, fine weather",pictophonetic,sun
晶,"crystal; bright, clear, radiant",ideographic,"Many suns 日, suggesting a bright and glittering gem"
晷,the sun's shadow; sundial; time,pictophonetic,sun
智,"wisdom, knowledge, intelligence",ideographic,Known 知 clearly 日; 知 also provides the pronunciation
暗,"dark, gloomy; obscure; secret, covert",pictophonetic,sun
晾,to air-dry; to sun-dry,pictophonetic,sun
暄,"warm, genial; comfortable",pictophonetic,sun
暆,declining (as of the sun),pictophonetic,sun
暇,"leisure, relaxation, spare time",pictophonetic,sun
晕,"dizzy, faint, foggy; to see stars",pictophonetic,sun
晖,"sunshine; light; bright, radiant",pictophonetic,sun
暋,"tough, strong, robust",ideographic,Strong 敃 sunlight 日; 敃 also provides the pronunciation
暌,"opposed to; separated, remote",pictophonetic,sun
暑,hot; heat; summer,pictophonetic,sun
暝,"dark, obscure",pictophonetic,sun
暠,"daybreak; brilliant, bright",pictophonetic,sun
皓,"bright, luminous; clear; hoary",pictophonetic,white
暡,twilight before dawn,pictophonetic,sun
畅,"freely, smoothly; unrestrained",pictophonetic,open
暨,"and; to reach, to attain; limits, confines",pictophonetic,dawn
暂,temporary,pictophonetic,sun
暮,"dusk, evening, sunset; ending",pictophonetic,sun
暴,"violent, brutal, tyrannical",ideographic,A man with head 日 and hands 共 tormenting a deer 水
暹,"sunrise; to advance, to rise, to go forward",ideographic,The sun 日 moving 辶; 隹 provides the pronunciation
暾,"sunrise, the morning sun",pictophonetic,sun
晔,"bright, radiant; thriving",ideographic,A flower 华 blooming in the sun 日
昙,"cloudy, overcast",ideographic,The sun 日 hidden behind a cloud 云
晓,"dawn; clear, explicit, known",pictophonetic,sun
暧,"obscure, dim; ambiguous, vague",pictophonetic,sun
曙,"dawn, daybreak; the dawn of an era",pictophonetic,sun
曚,twilight before dawn,pictophonetic,sun
曛,twilight; sunset,pictophonetic,sun
曜,"bright, glorious; Venus",ideographic,A spectacular 翟 star 日; 翟 also provides the pronunciation
曝,"to air out, to expose to sunlight; to reveal",pictophonetic,sun
旷,"broad, vast, wide; empty",ideographic,A wide 广 plain under the sun 日; 广 also provides the pronunciation
叠,"pile; layer; to fold up; to repeat, to duplicate",ideographic,Clothes 叒 stacked on top of a drawer 冝
曦,sunshine; early dawn,pictophonetic,sun
曩,ancient times; former; old,pictophonetic,sun
曰,to speak; to say,ideographic,Picture of an open 一 mouth 口
曱,cockroach,pictophonetic,
曲,"crooked, bent; wrong, false",pictographic,A folded object 曰
曳,"to tow, to pull, to drag",,
更,"more, further; to shift, to alternate; to modify",,
曷,"what, why, where, which, how",ideographic,Variant of 何
书,"book, letter, document; writing",ideographic,A mark made by a pen ⺺
曹,"ministers, officials; a company; surname",,
曼,"long, extended, vast; beautiful",ideographic,"Two hands 日, 又 pulling an eye open 罒"
曾,"already, formerly, once; the past",ideographic,"A rice cooker on heat 日, building up steam 丷 and letting it off"
替,"to change, to replace, to substitute for",ideographic,One man 夫 replacing another; 日 provides the pronunciation
朁,"if, supposing, nevertheless",,
会,"to assemble, to meet; meeting; association, group",ideographic,People 人 speaking 云
月,moon; month,pictographic,A crescent moon
有,"to have, to own, to possess; to exist",pictophonetic,
朊,protein,pictophonetic,meat
朋,"friend, pal, acquaintance",ideographic,Two people 月 walking together
服,"clothes; to dress, to wear; to take medicine",ideographic,A person 卩 putting on 又 a coat 月
朐,warm,pictophonetic,moon
朔,beginning; the first day of the lunar month,pictophonetic,moon
朕,"the royal ""we"", for imperial use",,
朗,"bright, clear, distinct",pictophonetic,moon
望,"to expect, to hope, to look forward to",ideographic,A king 王 gazing at the moon 月; 亡 provides the pronunciation
朝,"to face; direct, facing; dynasty; morning",pictophonetic,moon
期,"a period of time; date, time; phase",pictophonetic,moon
